Unix	jday	U-component_of_wind
1101240000	328	12.2532010228762
1101243600	328	11.2540209833604
1101247200	328	10.2493140478735
1101250800	328	9.28340562535451
1101254400	329	6.35892362320948
1101258000	329	7.31844749907104
1101261600	329	6.8116847670447
1101265200	329	6.25162426398211
1101268800	329	5.658979160204
1101272400	329	5.35249371033118
1101276000	329	2.3553115181348
1101279600	329	3.64066232068247
1101283200	329	4.21630697709033
1101286800	329	4.83037441896254
1101290400	329	5.04943751632708
1101294000	329	5.20706666134617
1101297600	329	4.85482883880544
1101301200	329	4.25032949037531
1101304800	329	3.92565270514181
1101308400	329	3.41654308521866
1101312000	329	2.63589013086948
1101315600	329	2.07693244307632
1101319200	329	3.98373229949024
1101322800	329	2.36613555578454
1101326400	329	1.04865627762947
1101330000	329	0.000239976716404772
1101333600	329	-0.138952045886074
1101337200	329	0.0877957854551672
1101340800	330	-0.315444471909994
1101344400	330	1.04007593407437
1101348000	330	3.16847363318856
1101351600	330	4.57369757112878
1101355200	330	5.1931828077853
1101358800	330	5.81757600030828
1101362400	330	3.13219677990201
1101366000	330	3.1727715856983
1101369600	330	1.56287639946295
1101373200	330	-0.369392669200656
1101376800	330	0.971094482786455
1101380400	330	2.60304031364741
1101384000	330	3.31971460460838
1101387600	330	6.21398868788072
1101391200	330	7.59537114077185
1101394800	330	8.24107307181804
1101398400	330	8.68143373963815
1101402000	330	9.02892537392682
1101405600	330	7.18558327072237
1101409200	330	7.85284441024726
1101412800	330	8.08829678816344
1101416400	330	8.00953015633398
1101420000	330	8.14443549030535
1101423600	330	8.12812615359332
1101427200	331	6.98367058061744
1101430800	331	7.41205153793859
1101434400	331	6.69833918029054
1101438000	331	6.04833310334941
1101441600	331	5.66751125733377
1101445200	331	5.23614469635124
1101448800	331	4.52605934511542
1101452400	331	4.27470527072716
1101456000	331	4.49810882180608
1101459600	331	5.05936681340851
1101463200	331	5.67459890620949
1101466800	331	6.25398020490443
1101470400	331	7.32992303447193
1101474000	331	7.18637033051312
1101477600	331	7.18210974017254
1101481200	331	7.01214472672762
1101484800	331	6.71663538731435
1101488400	331	6.395785286788
1101492000	331	6.13076664200524
1101495600	331	5.72382094583497
1101499200	331	5.65122373753204
1101502800	331	5.52943368993497
1101506400	331	5.57467607457472
1101510000	331	5.5270765067649
1101513600	332	5.76069085619867
1101517200	332	6.17968019396874
1101520800	332	5.77944120198686
1101524400	332	5.15521236956568
1101528000	332	4.90692691126607
1101531600	332	4.8545019851906
1101535200	332	3.68509071101422
1101538800	332	3.68512883554926
1101542400	332	3.41754616676642
1101546000	332	3.33599593840665
1101549600	332	3.45878363454749
1101553200	332	3.62540227249186
1101556800	332	6.02203682806898
1101560400	332	5.65547248529898
1101564000	332	5.44274452989407
1101567600	332	5.08726671102727
1101571200	332	4.52926212440661
1101574800	332	3.97541587223391
1101578400	332	3.70127589960483
1101582000	332	2.84684490135785
1101585600	332	1.96594031749378
1101589200	332	0.868228669639283
1101592800	332	-0.272593568820886
1101596400	332	-1.45911747884995
1101600000	333	-2.804161657662
1101603600	333	-3.22601624410489
1101607200	333	-2.7845447853073
1101610800	333	-1.70052883941161
1101614400	333	-0.421944621397321
1101618000	333	1.08073502062952
1101621600	333	2.11575627900823
1101625200	333	4.23310676131807
1101628800	333	6.16766660856689
1101632400	333	6.41431599500297
1101636000	333	5.5097644188243
1101639600	333	4.67825226480386
1101643200	333	4.45756963177444
1101646800	333	3.64544340994487
1101650400	333	3.15623319318075
1101654000	333	2.36857787274352
1101657600	333	2.18496065935828
1101661200	333	2.14091657938773
1101664800	333	2.62774863213964
1101668400	333	2.90914480752039
1101672000	333	2.74485548601623
1101675600	333	2.25831649570912
1101679200	333	2.02120019060976
1101682800	333	1.90813705620756
1101686400	334	1.26631785765443
1101690000	334	0.721931849267858
1101693600	334	0.841634373307183
1101697200	334	1.51068808143729
1101700800	334	2.73865050028723
1101704400	334	4.04921040110796
1101708000	334	6.10372259705507
1101711600	334	7.90711646250612
1101715200	334	9.23510379001647
1101718800	334	8.98843848866523
1101722400	334	8.4745654932628
1101726000	334	8.18134630960135
1101729600	334	3.05758449341801
1101733200	334	6.27860628655571
1101736800	334	7.06694446042268
1101740400	334	7.07304483911107
1101744000	334	6.73651560709237
1101747600	334	6.32915126608249
1101751200	334	1.47108060190988
1101754800	334	4.02800590536131
1101758400	334	5.5794153534311
1101762000	334	5.90818785771539
1101765600	334	5.61161605903346
1101769200	334	5.73943490925931
1101772800	335	2.86740833336371
1101776400	335	4.79647389986064
1101780000	335	5.4462371485898
1101783600	335	4.70572032766463
1101787200	335	3.67395483192149
1101790800	335	2.67403140765699
1101794400	335	5.28964595477154
1101798000	335	4.26929670195951
1101801600	335	4.52624532480474
1101805200	335	3.81883352339548
1101808800	335	2.94805244356695
1101812400	335	2.01164244375048
1101816000	335	-1.92657906427503
1101819600	335	-0.928530851933904
1101823200	335	-0.361607608929816
1101826800	335	0.950701048904484
1101830400	335	1.94325372852479
1101834000	335	2.56124984217524
1101837600	335	1.73309812107124
1101841200	335	1.47180430969325
1101844800	335	1.61618004727398
1101848400	335	1.43837062651608
1101852000	335	0.25991023356016
1101855600	335	-1.09238747682881
