Unix	jday	V.component_of_wind
1066777200	294	-3.21131108634038
1066780800	295	-2.57424452026503
1066784400	295	-3.07985682517943
1066788000	295	-3.43060829428499
1066791600	295	-3.41939372976447
1066795200	295	-3.11076273223502
1066798800	295	-2.79206063194092
1066802400	295	-2.37096759385177
1066806000	295	-2.21961753970679
1066809600	295	-2.13346741495696
1066813200	295	-2.06675623372031
1066816800	295	-2.10428213943292
1066820400	295	-2.12208032671042
1066824000	295	-2.52768218445835
1066827600	295	-2.8757129277617
1066831200	295	-2.99851771748858
1066834800	295	-3.13993436337554
1066838400	295	-3.06829741623819
1066842000	295	-3.02337496510066
1066845600	295	-2.00615085298484
1066849200	295	-2.78472279709686
1066852800	295	-3.46771829112276
1066856400	295	-4.10603799573043
1066860000	295	-4.4919805091635
1066863600	295	-4.76412064696788
1066867200	296	-6.62271285219263
1066870800	296	-5.10045605367202
1066874400	296	-4.56166344633743
1066878000	296	-4.09746435931125
1066881600	296	-4.15835085265301
1066885200	296	-4.37335809159261
1066888800	296	-4.72577141953874
1066892400	296	-4.63668764023659
1066896000	296	-4.2729094936574
1066899600	296	-3.55891943662645
1066903200	296	-2.55710161809587
1066906800	296	-1.6278785547067
1066910400	296	0.0895883938038544
1066914000	296	0.422024523171605
1066917600	296	0.795642228172854
1066921200	296	1.41643016279825
1066924800	296	1.87623261382497
1066928400	296	2.19278700201756
1066932000	296	3.53009634771343
1066935600	296	2.67834029550931
1066939200	296	2.24791869364033
1066942800	296	1.85271002468142
1066946400	296	1.80838344149544
1066950000	296	1.74742558215359
1066953600	297	2.61691671300701
1066957200	297	2.50142872081925
1066960800	297	2.64482675452271
1066964400	297	3.01055740677187
1066968000	297	2.91688238896409
1066971600	297	2.91283362776686
1066975200	297	3.4492176040327
1066978800	297	3.69234155479011
1066982400	297	3.50597760393671
1066986000	297	3.04794926902504
1066989600	297	2.87406329316459
1066993200	297	2.73565505658934
1066996800	297	2.7870943570857
1067000400	297	2.64940073460532
1067004000	297	2.46546551458843
1067007600	297	2.45878557377698
1067011200	297	2.65104644170742
1067014800	297	2.76120346027704
1067018400	297	3.99194427541732
1067022000	297	3.05519783523549
1067025600	297	2.64608213792208
1067029200	297	2.21070662239695
1067032800	297	1.80338776213834
1067036400	297	1.40171919287012
1067040000	298	2.72359150995324
1067043600	298	1.84358337300075
1067047200	298	1.4725826810131
1067050800	298	1.422637915653
1067054400	298	1.62477902173906
1067058000	298	1.7377747332067
1067061600	298	2.69576526255609
1067065200	298	2.38298970865762
1067068800	298	2.49262898174369
1067072400	298	2.60935089724056
1067076000	298	2.63610573276826
1067079600	298	2.59201626424585
1067083200	298	1.72481436998313
1067086800	298	2.18394768426615
1067090400	298	2.10389803890635
1067094000	298	2.15990898383355
1067097600	298	1.90192075022076
1067101200	298	1.64892065650476
1067104800	298	-0.244326559345453
1067108400	298	0.219884313899148
1067112000	298	0.0951520116031153
1067115600	298	0.525417555591016
1067119200	298	0.793167171146705
1067122800	298	0.895736747395243
1067126400	299	-0.561615975082697
1067130000	299	0.142710085490662
1067133600	299	0.0718567409654524
1067137200	299	0.100802075762707
1067140800	299	0.0853912746761242
1067144400	299	0.0618604773241218
1067148000	299	-2.09985392749659
1067151600	299	-1.25077217905862
1067155200	299	-1.28418357857981
1067158800	299	-1.33308200013972
1067162400	299	-1.46815200533551
1067166000	299	-1.52771751252347
1067169600	299	-2.26534908462021
1067173200	299	-1.93089969715808
1067176800	299	-1.81388738801427
1067180400	299	-1.72799934653387
1067184000	299	-1.63805131522672
1067187600	299	-1.54244269889615
1067191200	299	-2.48890938654421
1067194800	299	-1.27625362020275
1067198400	299	-1.33455903353769
1067202000	299	-1.91847154397036
1067205600	299	-2.28091827404229
1067209200	299	-2.86371463157945
1067212800	300	-4.3168153403977
1067216400	300	-4.88608594273366
1067220000	300	-5.38248671008115
1067223600	300	-5.69850217095036
1067227200	300	-6.03631569304173
1067230800	300	-5.63701506396962
1067234400	300	-3.9185490244515
1067238000	300	-3.07742583131334
1067241600	300	-3.02782985903484
1067245200	300	-2.88306288787889
1067248800	300	-2.8158663760662
1067252400	300	-3.06560290566478
1067256000	300	-5.80667193121843
1067259600	300	-5.77990968958218
1067263200	300	-5.60701855918373
1067266800	300	-5.46923495547581
1067270400	300	-5.48005059676765
1067274000	300	-5.18071574717716
1067277600	300	-4.77806024534837
1067281200	300	-3.79082561731641
1067284800	300	-3.09823227151111
1067288400	300	-2.76900103371918
1067292000	300	-2.65018430775149
1067295600	300	-2.52743329097407
1067299200	301	-1.67873505366882
1067302800	301	-1.86759504708315
1067306400	301	-2.00099754204635
1067310000	301	-2.62624117531538
1067313600	301	-3.05425913627754
1067317200	301	-3.19851356928676
1067320800	301	-1.25263745295155
1067324400	301	-1.12443572245637
1067328000	301	-1.01040599450529
1067331600	301	-0.833451769637799
1067335200	301	-0.432625798076112
1067338800	301	0.0971799817090272
1067342400	301	2.03301073130902
1067346000	301	2.14463591722536
1067349600	301	1.95476250569081
1067353200	301	1.72972486366302
1067356800	301	1.47891637715685
1067360400	301	1.29753612308877
1067364000	301	2.13115772659301
1067367600	301	1.98200029074469
1067371200	301	1.37935508018667
1067374800	301	0.85745605138204
1067378400	301	0.236322854615634
1067382000	301	-0.372607583687923
1067385600	302	-0.723763048368732
1067389200	302	-0.947735256816626
1067392800	302	-1.05004208755075
1067396400	302	-0.781213553698139
1067400000	302	-1.47855212448434
1067403600	302	-2.05893833949192
1067407200	302	-1.9311405087029
1067410800	302	-1.71482663381934
1067414400	302	-1.58751514257613
1067418000	302	-1.85531622124749
1067421600	302	-2.60513182024983
1067425200	302	-3.10947757642601
1067428800	302	-4.62320028762524
1067432400	302	-4.78549942468998
1067436000	302	-5.36971748073722
1067439600	302	-5.46789906465353
1067443200	302	-5.75363091343928
1067446800	302	-5.62984158972893
1067450400	302	-6.49655444632165
1067454000	302	-6.51439140043968
1067457600	302	-6.75489646898864
1067461200	302	-6.9982600433209
1067464800	302	-7.36330275346889
1067468400	302	-7.55965366452564
1067472000	303	-8.06567779510561
1067475600	303	-8.12388606568639
1067479200	303	-8.09839737615716
1067482800	303	-7.48264585214552
1067486400	303	-5.90905948285343
1067490000	303	-4.0201510411254
1067493600	303	-2.05170152319238
1067497200	303	-1.19179967811104
1067500800	303	-0.717992720589781
1067504400	303	-0.419465442558071
1067508000	303	-0.125108818917091
1067511600	303	0.213341715654338
1067515200	303	1.06927691110265
1067518800	303	0.988073920486479
1067522400	303	0.621731553287257
1067526000	303	0.431532120909735
1067529600	303	0.581269105043441
1067533200	303	0.712433133228721
1067536800	303	2.86081930356914
1067540400	303	1.60499893680118
1067544000	303	1.01815761901028
1067547600	303	0.746343508647006
1067551200	303	0.506653328631223
1067554800	303	0.329965749842166
1067558400	304	-2.12776124276727
1067562000	304	-1.33025441909644
1067565600	304	-0.819945565560681
1067569200	304	-0.402279250159937
1067572800	304	-0.317302210814299
1067576400	304	-0.248858491860951
1067580000	304	0.205829738601526
1067583600	304	-0.135947183211267
1067587200	304	0.00220847336099371
1067590800	304	-0.106661927650829
1067594400	304	-0.215298238323478
1067598000	304	-0.243073961499639
1067601600	304	0.72692078689976
1067605200	304	0.88353993123163
1067608800	304	0.768778182387282
1067612400	304	0.434020730491848
1067616000	304	-0.0625663577156255
1067619600	304	-0.672317404385107
1067623200	304	-0.439731433306021
1067626800	304	-2.19053660696961
1067630400	304	-3.33367026384013
1067634000	304	-4.26009627160561
1067637600	304	-5.10160600800363
1067644800	305	-8.15899253162613
1067648400	305	-8.58543899004689
1067652000	305	-8.63543961654746
1067655600	305	-8.50027197915372
1067659200	305	-8.76064269726679
1067662800	305	-9.17399239349857
1067666400	305	-10.6641834184289
1067670000	305	-12.3375134731594
1067673600	305	-12.2620245673518
1067677200	305	-12.670028895298
1067680800	305	-10.8707463460078
1067684400	305	-8.52145010091784
1067688000	305	-7.41551127330259
1067691600	305	-7.28352290602581
1067695200	305	-8.10002164397179
1067698800	305	-8.66145550461574
1067702400	305	-8.96218339823005
1067706000	305	-8.76948445690183
1067709600	305	-6.82985597210018
1067713200	305	-5.32093912839272
1067716800	305	-4.39438633158565
1067720400	305	-3.96431766665111
1067724000	305	-3.36621118229517
1067727600	305	-2.94390606939214
1067731200	306	-1.67020166056092
1067734800	306	-1.40312242636567
1067738400	306	-1.81639228977095
1067742000	306	-1.94230364086098
1067745600	306	-1.79017743024362
1067749200	306	-1.54730071755087
1067752800	306	-0.584544374977186
1067756400	306	-0.262593536777226
1067760000	306	0.465295697959411
1067763600	306	1.28473886152442
1067767200	306	1.97388795149757
1067770800	306	2.57046564355701
1067774400	306	4.88007166421277
1067778000	306	4.13165630411113
1067781600	306	4.0404305614443
1067785200	306	3.83686601577895
1067788800	306	3.42680802043234
1067792400	306	3.13223273658165
1067796000	306	5.65709260735087
1067799600	306	4.01857739510337
1067803200	306	3.43283347479719
1067806800	306	2.79629648556495
1067810400	306	2.17362071892675
1067814000	306	1.59833818862278
1067817600	307	0.692693561716673
1067821200	307	0.0244947358325903
1067824800	307	0.513356469396609
1067828400	307	1.23755887360232
1067832000	307	1.30622030328081
1067835600	307	1.07592881058777
1067839200	307	-0.20586526494874
1067842800	307	-1.14196337354059
1067846400	307	-3.07545015486354
1067850000	307	-4.75362362100343
1067853600	307	-1.45111229923602
1067857200	307	1.94646890056256
1067860800	307	4.95551308106374
1067864400	307	4.872077687559
1067868000	307	4.56802951800498
1067871600	307	4.60945647243475
1067875200	307	5.05440819189267
1067878800	307	5.30718255847655
1067882400	307	5.39515816693423
1067886000	307	5.1256405610562
1067889600	307	4.80544083551322
1067893200	307	4.40629245923837
1067896800	307	4.43852282018191
1067900400	307	4.40735781942996
1067904000	308	1.85006205236341
1067907600	308	2.22339315428292
1067911200	308	2.49777569109279
1067914800	308	3.08834483237336
1067918400	308	3.43312069384307
1067922000	308	3.77729179882436
1067925600	308	4.7191954645226
1067929200	308	4.61547391633222
1067932800	308	4.57780770222766
1067936400	308	3.95478074412065
1067940000	308	3.3880918652082
1067943600	308	2.94148628236646
1067947200	308	2.84285719125005
1067950800	308	2.57248233637902
1067954400	308	2.28769522821528
1067958000	308	1.63073749450917
1067961600	308	1.00074154924663
1067965200	308	0.600408150033643
1067968800	308	0.476178800731196
1067972400	308	0.514582744635012
1067976000	308	0.675386187578882
